City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,kangasala,61.4638,24.076,19.62,66,93,2.57,FI,1690395529
138,niquelandia,-14.4739,-48.4597,34.44,16,0,1.08,BR,1690395529
139,cesis,57.3119,25.2746,16.52,78,34,2.84,LV,1690395529
140,homer,59.6425,-151.5483,18.91,78,0,1.54,US,1690395384
141,coos bay,43.3665,-124.2179,24.06,68,0,6.69,US,1690395491
142,imbituba,-28.24,-48.6703,26.03,55,99,3.81,BR,1690395530
143,rabo de peixe,37.8,-25.5833,24.73,65,40,1.54,PT,1690395530
144,kodiak,57.79,-152.4072,12.73,94,100,1.54,US,1690395530
145,zarinsk,53.7074,84.9493,17.63,61,87,2.45,RU,1690395531
146,peace river,56.2501,-117.286,19.17,77,100,5.14,CA,1690395531
147,thompson,55.7435,-97.8558,15.09,67,75,4.12,CA,1690395424
148,yigo village,13.5361,144.8886,25.62,91,100,8.23,GU,1690395531
149,puerto ayora,-0.7393,-90.3518,29.98,88,46,4.92,EC,1690395532
150,berdigestyakh,62.0989,126.6992,11.81,67,66,1.69,RU,1690395532
151,bahia blanca,-38.7196,-62.2724,11.01,60,49,3.58,AR,1690395532
152,sitka,57.0531,-135.33,14.94,88,100,0.0,US,1690395533
153,flying fish cove,-10.4217,105.6791,24.82,88,100,4.63,CX,1690395533
154,newman,37.3138,-121.0208,35.03,17,0,1.08,US,1690395533
155,puerto la cruz,10.2167,-64.6167,27.36,80,48,3.52,VE,1690395534
156,santa vitoria,-18.8386,-50.1214,31.49,24,0,0.83,BR,1690395534
157,severo-yeniseyskiy,60.3725,93.0408,14.62,97,89,1.24,RU,1690395534
158,zhezqazghan,47.7833,67.7667,28.49,37,100,8.04,KZ,1690395535
159,turpan,42.9333,89.1667,38.69,11,22,2.62,CN,1690395535
160,praia,14.9215,-23.5087,29.3,74,40,6.69,CV,1690395535
161,xilin hot,43.9667,116.0333,18.05,85,99,5.07,CN,1690395535
162,hadibu,12.65,54.0333,25.5,76,30,8.53,YE,1690395453
163,pechora,65.1472,57.2244,17.78,74,93,1.49,RU,1690395536
164,san jose de guanipa,8.8872,-64.1651,29.19,63,83,2.49,VE,1690395536
165,poronaysk,49.2167,143.1167,15.44,99,96,0.96,RU,1690395537
166,macusani,-14.0833,-70.4333,12.36,13,0,1.71,PE,1690395537
167,carbonear,47.7332,-53.2148,29.91,56,50,4.84,CA,1690395537
168,jamestown,42.097,-79.2353,30.77,52,20,6.17,US,1690395331
169,i-n-salah,27.1935,2.4607,43.99,9,15,3.16,DZ,1690395537
170,nemuro,43.3236,145.575,16.26,98,77,0.34,JP,1690395468
171,preobrazheniye,42.9019,133.9064,21.93,89,100,2.6,RU,1690395538
172,khovd,48.0056,91.6419,22.03,29,77,3.72,MN,1690395539
173,port mathurin,-19.6833,63.4167,23.78,80,17,6.75,MU,1690395449
174,george town,5.4112,100.3354,27.96,89,20,0.0,MY,1690395285
175,zapolyarnyy,69.4154,30.8136,10.6,84,98,2.46,RU,1690395539
176,coquimbo,-29.9533,-71.3436,14.85,77,100,5.66,CL,1690395381
177,hibbing,47.4272,-92.9377,29.68,54,0,1.54,US,1690395439
178,escarcega,18.6089,-90.7454,35.6,36,47,1.54,MX,1690395540
179,daru,-9.0763,143.2092,24.62,86,85,6.61,PG,1690395541
180,kruisfontein,-34.0033,24.7314,13.82,62,96,2.75,ZA,1690395541
181,dudinka,69.4058,86.1778,19.79,73,2,3.26,RU,1690395437
182,orchard homes,46.8633,-114.0484,27.38,31,0,2.06,US,1690395517
183,gokwe,-18.2048,28.9349,15.6,47,81,0.93,ZW,1690395542
184,labrador city,52.9463,-66.9114,21.95,46,75,6.69,CA,1690395543
185,kavieng,-2.5744,150.7967,27.67,79,91,6.02,PG,1690395543
186,twon-brass,4.3151,6.2418,25.94,85,82,5.56,NG,1690395537
187,aoulef,26.9667,1.0833,44.55,10,14,4.29,DZ,1690395545
188,gamba,-2.65,10.0,21.73,91,78,3.66,GA,1690395546
189,st. john's,47.5649,-52.7093,29.66,42,40,6.69,CA,1690395546
190,jalpan,21.2333,-99.4833,28.48,42,100,1.36,MX,1690395547
191,afaahiti,-17.75,-149.2833,24.93,87,81,3.65,PF,1690395465
192,gadzhiyevo,69.2551,33.3362,10.38,97,100,2.67,RU,1690395406
193,bamiantong,44.9333,130.5333,20.02,92,9,1.64,CN,1690395547
194,conception bay south,47.4999,-52.9981,29.53,49,55,6.35,CA,1690395412
195,hamilton,39.1834,-84.5333,33.73,63,20,8.23,US,1690395548
196,crane,31.3974,-102.3501,34.56,25,21,7.84,US,1690395548
197,hanko,59.8333,22.95,17.21,77,100,7.6,FI,1690395548
198,alcala del valle,36.9045,-5.1724,27.54,21,0,2.36,ES,1690395549
199,pisco,-13.7,-76.2167,22.03,60,100,6.17,PE,1690395445
200,caleta de carquin,-11.0925,-77.6267,22.08,69,33,4.63,PE,1690395550
201,yellowknife,62.456,-114.3525,24.29,35,40,8.49,CA,1690395433
202,muzo,5.5353,-74.1078,28.38,69,50,1.76,CO,1690395550
203,varadero,23.1536,-81.2514,26.42,71,85,6.52,CU,1690395550
204,nova sintra,14.8667,-24.7167,23.41,84,99,4.17,CV,1690395551
205,matinha,-3.1006,-45.0336,31.19,50,37,2.79,BR,1690395551
206,olonkinbyen,70.9221,-8.7187,4.76,93,100,5.75,SJ,1690395374
207,uturoa,-16.7333,-151.4333,25.52,85,45,4.54,PF,1690395493
208,gwaram,11.2764,9.8858,31.37,40,96,3.5,NG,1690395552
209,namie,37.4833,141.0,24.84,87,0,1.79,JP,1690395552
210,arraial do cabo,-22.9661,-42.0278,21.92,88,75,11.32,BR,1690395441
211,remire-montjoly,4.9167,-52.2667,27.02,89,75,1.54,GF,1690395449
212,maputo,-25.9653,32.5892,18.82,77,0,6.17,MZ,1690395553
213,oriximina,-1.7656,-55.8661,34.89,35,8,3.55,BR,1690395553
214,phan rang-thap cham,11.5667,108.9833,26.1,81,100,2.46,VN,1690395554
215,ulan bator,47.9077,106.8832,11.07,82,20,0.0,MN,1690395554
216,mariehamn,60.0973,19.9348,17.92,68,0,4.12,AX,1690395555
217,rantepao,-2.9701,119.8978,18.96,97,90,0.36,ID,1690395555
218,toliara,-23.35,43.6667,20.7,45,0,7.14,MG,1690395475
219,portland,45.5234,-122.6762,24.41,59,20,4.63,US,1690395485
220,constantia,44.1833,28.65,25.39,71,7,2.21,RO,1690395504
221,aykhal,66.0,111.5,15.53,70,100,3.07,RU,1690395556
222,vila franca do campo,37.7167,-25.4333,25.23,69,61,2.41,PT,1690395556
223,cannonvale,-20.2833,148.7,19.66,73,31,9.69,AU,1690395557
224,vrangel',42.7297,133.0839,20.84,94,100,3.43,RU,1690395557
225,lappeenranta,61.0587,28.1887,19.88,94,100,2.57,FI,1690395557
226,port saint john's,-31.6229,29.5448,19.39,57,1,3.6,ZA,1690395436
